queid,difficulty
1,medium
2,easy
3,easy
4,easy
5,easy
6,easy
7,easy
8,easy
9,easy
10,hard
11,easy
12,medium
13,medium
14,easy
15,easy
16,medium
17,easy
18,easy
19,easy
20,easy
21,easy
22,easy
23,hard
24,medium
25,medium
26,easy
27,easy
28,easy
29,medium
30,hard
