queid,userid,result,difficulty,tstamp
10,user137,0,medium,11091
6,user103,0,medium,16936
5,user122,1,easy,49231
10,user145,0,very hard,59476
4,user134,1,medium,105668
7,user103,1,easy,3431
2,user141,0,medium,11456
4,user133,1,medium,109101
4,user133,1,medium,109101
8,user103,1,easy,3488
4,user135,1,easy,150135
11,user145,0,easy,9789
9,user103,1,easy,4989
12,user145,0,easy,3122
28,user102,1,medium,35824
10,user103,0,easy,2697
13,user145,0,easy,2712
5,user133,0,easy,15779
14,user145,0,easy,4531
5,user134,0,easy,31905
20,user123,1,medium,140633
15,user145,0,hard,2667
28,user104,1,easy,82935
5,user135,0,easy,32782
10,user111,0,easy,249616
10,user110,0,medium,246630
4,user131,0,easy,128399
11,user138,0,easy,98667
11,user137,0,easy,88929
4,user107,1,easy,146562
4,user108,1,easy,144062
12,user137,1,very hard,6196
29,user102,1,medium,74582
3,user109,0,medium,116139
11,user103,0,easy,81110
13,user137,0,medium,15397
21,user123,1,easy,71626
14,user137,0,very hard,11735
12,user138,0,easy,53582
29,user104,1,easy,91918
6,user134,1,very hard,111155
15,user137,0,hard,25318
6,user124,1,easy,174033
5,user131,1,easy,86182
22,user123,1,easy,49371
7,user134,1,easy,13623
13,user138,0,medium,31782
6,user135,0,easy,125487
11,user111,1,easy,102325
11,user110,0,hard,1000
14,user138,0,very hard,6516
6,user122,1,medium,185031
7,user124,0,easy,21243
5,user108,1,easy,103293
5,user107,1,hard,41859
3,user141,0,medium,184876
15,user138,0,easy,4030
25,user119,1,medium,216440
25,user121,1,easy,217062
7,user135,0,easy,19749
6,user133,0,hard,171044
4,user109,0,medium,108009
7,user122,0,easy,24477
30,user104,1,medium,88239
3,user146,1,easy,272595
7,user133,1,easy,18793
8,user124,1,easy,57738
5,user109,0,easy,38510
8,user135,1,easy,62485
26,user121,1,easy,63152
26,user119,1,easy,67470
8,user122,1,easy,52804
30,user102,1,easy,183273
27,user119,1,easy,11807
9,user135,0,easy,20525
27,user121,1,hard,1000
6,user131,0,hard,125744
8,user134,1,medium,126214
8,user133,1,medium,56245
6,user108,0,easy,118172
9,user122,1,easy,47643
9,user134,0,medium,21910
9,user133,0,hard,24120
9,user124,1,easy,80630
10,user133,0,very hard,6575
10,user134,0,medium,13272
11,user133,0,medium,3655
7,user131,0,easy,50473
11,user134,0,medium,2458
1,user118,0,very hard,46038
10,user135,0,easy,59965
12,user133,0,medium,2310
12,user134,0,easy,3819
13,user133,0,easy,2041
4,user146,1,medium,117707
13,user134,0,hard,3056
14,user133,0,easy,2972
12,user101,0,hard,1000
14,user134,0,medium,2489
15,user133,0,medium,3210
7,user108,1,easy,61068
15,user134,0,easy,4809
8,user131,0,hard,27402
8,user131,0,hard,27402
28,user121,1,easy,105072
28,user119,1,easy,105546
9,user131,0,medium,13477
11,user135,0,easy,46559
8,user108,1,easy,27658
6,user109,0,hard,155881
5,user146,1,easy,50755
4,user141,1,medium,235545
3,user140,0,hard,1000
10,user131,0,hard,26017
10,user131,0,hard,26017
12,user135,0,medium,28382
7,user109,1,easy,22593
4,user140,1,easy,10261
5,user141,0,easy,16173
5,user140,0,medium,5886
6,user140,0,very hard,11457
2,user118,0,very hard,118107
23,user123,1,hard,300120
7,user140,1,hard,5199
13,user101,1,medium,109843
6,user141,0,hard,30212
8,user140,0,very hard,6928
12,user131,1,medium,60417
13,user135,0,easy,64585
9,user108,1,easy,92378
6,user146,0,hard,82986
7,user141,1,medium,24917
8,user109,1,easy,72437
13,user131,0,medium,21283
9,user109,0,easy,3174
14,user135,1,medium,20677
7,user146,1,easy,17989
3,user118,1,very hard,64113
12,user111,0,medium,362403
14,user131,1,hard,11832
12,user110,0,hard,356763
9,user140,0,hard,1000
14,user101,1,very hard,58888
10,user108,0,hard,35522
15,user101,1,hard,1988
10,user140,0,hard,3758
10,user109,1,hard,26920
11,user140,0,hard,6289
15,user131,0,medium,16247
8,user146,1,easy,34745
